,Rule_0,Rule_1,Rule_2,Rule_3,Rule_4,Rule_5,Rule_6,Rule_7,Rule_8,Rule_9,Rule_10,Rule_11,Rule_12,Rule_13,Rule_14,Rule_15,Rule_16,Rule_17,Rule_18,Rule_19,Rule_20,Recency,Frequency,Monetary,Cluster
000nan,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0,2.0,2.0,2
012346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.742627345844504,0.0,2.1287979008584563e-06,0
012747,1,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0.005361930294906166,0.014577259475218658,0.0011004172321540976,2
012748,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0,0.3032069970845481,0.029865395129971065,2
012749,0,0,1,1,0,0,0,0,0,0,1,1,0,1,1,0,0,1,1,0,0,0.0160857908847185,0.0058309037900874635,0.0024342192272781716,3
012820,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010723860589812333,0.004373177842565598,0.0002745659913279625,1
012821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1420911528150135,0.0,3.626297113876129e-05,0
012822,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0.37533512064343166,0.0014577259475218659,0.00030265633604273845,1
012823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3967828418230563,0.0058309037900874635,9.317772880998851e-05,1
012824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3163538873994638,0.0,0.00015469264746238113,1
012826,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.010723860589812333,0.008746355685131194,0.00042881819784533845,1
012827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02680965147453083,0.002915451895043732,0.0001750263377567878,1
012828,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.010723860589812333,0.00728862973760933,0.00042299458979471415,1
012829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.801608579088472,0.0014577259475218659,0.00027865230453995516,0
012830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19839142091152814,0.00728862973760933,0.00010059181805090935,1
012831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3994638069705094,0.0,6.711830623051431e-05,0
012832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16621983914209115,0.0014577259475218659,0.00019308441650200088,1
012833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7721179624664879,0.0,0.000319123933597655,0
012834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.512064343163539,0.0,0.00021513093269364997,0
012836,1,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.3109919571045576,0.004373177842565598,0.0018356599830161079,2
012837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9222520107238606,0.0,0.0001976601085417771,0
012838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1769436997319035,0.0014577259475218659,0.00069775633265379,1
012839,1,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.010723860589812333,0.018950437317784254,0.001474938849056851,2
012840,1,1,0,0,1,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0.7667560321715818,0.004373177842565598,0.0005623941488888593,2
012841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.021447721179624665,0.03498542274052478,0.0024610861249234886,1
012842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3699731903485255,0.0014577259475218659,0.00035984025206924666,1
012843,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0.3485254691689008,0.01020408163265306,0.0008850171411051667,2
012844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15013404825737264,0.0014577259475218659,0.00033436808408311263,1
012845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4262734584450403,0.004373177842565598,0.00018393303242244844,0
012847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11260053619302948,0.0,0.0002977870167062921,1
012849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16085790884718498,0.0014577259475218659,0.00036079454078342455,1
012851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.514745308310992,0.0,0.0002377402345372501,1
012852,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1.5764075067024128,0.0,0.00015141380931623134,3
012853,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0.7184986595174263,0.00728862973760933,0.0008108273108131801,2
012854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.41823056300268097,0.002915451895043732,0.0007464005881354753,1
012855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9946380697050938,0.0,1.0962085742351591e-05,0
012856,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0.03753351206434316,0.00728862973760933,0.001953747094160279,1
